"vessel_imo"
1004819
1005552
1007213
1007500
1008255
1008566
1009948
1010246
1010363
1010648
1010727
1010753
1011408
1011719
1011850
1012323
1012452
1012696
1012787
1014539
1014591
1014876
1015088
1015868
1016367
1018121
1018133
1018262
1020447
1020459
1021207
1021714
1022275
1022287
1022299
1022677
1022689
1023023
1024429
1027885
1028554
1028566
1029455
1029467
1029766
1030454
1031587
1031599
1033640
1034333
1036513
1038470
1038482
1038523
1038535
1038547
1038559
1039967
1049601
1050363
1051161
1052696
1052701
1054618
1056068
1056070
1056264
1056276
1056288
1058901
1058913
1058925
1061116
1061415
1061427
1061439
1062201
1062213
1065021
1066219
1069508
1069534
1069546
1069558
1072323
1076173
1077696
1084077
1085203
1095533
1096850
1097854
1098602
1108744
1113426
1118684
1119157
1130151
1891975
2948751
5124265
5154222
5175745
5270909
5312628
5355955
5422540
6408981
6412463
6417657
6418508
6504931
6604016
6618691
6701888
6705937
6708472
6720834
6725432
6728018
6801822
6807216
6810926
6817754
6903450
6908931
6925173
7006778
7006974
7015121
7017777
7025267
7028996
7045970
7047643
7048154
7101322
7112204
7114020
7129946
7203912
7216830
7221653
7222968
7228405
7235707
7235874
7237482
7304912
7306049
7308762
7315569
7319058
7320693
7325095
7328073
7337880
7338327
7338846
7348700
7351032
7351264
7355375
7357658
7367407
7367419
7369883
7388657
7390791
7390985
7391018
7391020
7403598
7407568
7417238
7417264
7502368
7502370
7509469
7514177
7523659
7525736
7527849
7531333
7609843
7612307
7615048
7615878
7618155
7619953
7628978
7636913
7636963
7638480
7641190
7647560
7704124
7708807
7711488
7716763
7717250
7717327
7717339
7721990
7727384
7729485
7729526
7730525
7802108
7802536
7804209
7807433
7808578
7808580
7808592
7810325
7810739
7813066
7813080
7813896
7817828
7817830
7819113
7819539
7819589
7824869
7902001
7903043
7904578
7904906
7905833
7907104
7912707
7913684
7917800
7921655
7927831
7928615
7929126
7932343
8009258
8010348
8013144
8023606
8023618
8023785
8024856
8027810
8028412
8030647
8030788
8101783
8102024
8106886
8111922
8112536
8112835
8115825
8117988
8118281
8123418
8123509
8127505
8127799
8128406
8128858
8130851
8133578
8133827
8136013
8136506
8137213
8201521
8202850
8204121
8205096
8205228
8207549
8207721
8209171
8213237
8213720
8213914
8214889
8215728
8215730
8218859
8218902
8218914
8219621
8221595
8223256
8223311
8223646
8224418
8228036
8230340
8300157
8300949
8303173
8304232
8304488
8306723
8314732
8318568
8319055
8319976
8320286
8320432
8320444
8320456
8320468
8320470
8320482
8320494
8328630
8332473
8346424
8346620
8352318
8353752
8357904
8358661
8400086
8403337
8404264
8407266
8407450
8407711
8407979
8411190
8411293
8411566
8412297
8414817
8416516
8418019
8419453
8420701
8423947
8424862
8437455
8503187
8503967
8503979
8505927
8507470
8509076
8510805
8510946
8511029
8511938
8516263
8516574
8516861
8517413
8519837
8520836
8520898
8530063
8542810
8580393
8580757
8590166
8601159
